-2.9092, 0.2889
-1.5747, -3.7803
-0.7086, 0.4367
-0.8041, -2.5440
1.7737, 1.0412
-1.2222, -0.3538
-3.4613, -3.3523
-2.7710, -0.8487
-1.0833, 0.0336
-3.6076, -4.0337
-0.1382, 1.6232
-2.3775, -0.3968
-1.2480, -0.6279
0.7566, 1.4736
0.4000, -4.2792
1.2151, -0.2183
1.0068, -0.5088
-0.4218, -5.5763
-1.7889, -1.6085
2.4996, 5.5795
-1.8118, -1.8187
-0.4236, 1.5252
-3.9788, 6.0567
5.3369, 1.3012
-3.0797, -2.4861
-2.0375, 4.3834
1.1596, -0.0611
-0.0153, -2.6443
-3.2378, -2.1720
0.1429, 1.0647
5.1794, -1.6243
-4.0055, 0.4433
0.6560, 0.6120
-3.3628, -0.3180
3.6516, 1.7730
-3.0120, -2.2490
-2.1085, 2.3750
0.6410, -1.5893
1.3627, 3.5270
3.8503, 1.9487
4.6417, -8.1253
1.1057, 3.8553
2.8482, -2.2318
-0.4094, 0.5867
-6.3055, 5.7372
-6.1461, 1.3171
2.6688, 0.8607
6.9631, 0.6158
2.7678, 5.4080
-0.4775, -0.7686
-0.2583, 2.0725
1.6376, 4.5514
-0.2187, 0.7646
0.8639, -2.7537
2.3078, 0.6048
1.9936, 0.6236
-2.8091, -0.1997
2.9858, -2.3690
-3.2861, -6.0212
-2.2814, -1.3305
2.6960, 1.2057
-1.9530, 3.9177
-4.4349, 0.9641
-1.7137, 5.1652
6.1827, -1.3782
-0.5020, -1.0001
4.0186, 3.0823
4.9516, 1.5413
-4.1223, 1.9411
-0.7152, -4.1367
7.1383, -7.0407
-0.3533, 5.2327
-2.7478, -3.3551
1.5155, 2.2222
1.9429, 1.9004
-4.5310, -0.5918
2.0402, -2.4864
1.2266, -0.6917
4.2146, 7.0349
-0.1447, 3.4136
-3.1665, -3.3598
4.5139, -3.2321
0.3482, -0.0011
0.0097, -0.8008
-2.6089, -0.8105
-3.0617, -1.9470
0.2205, -0.1994
0.1874, 3.5438
0.2668, -0.1815
-3.9775, -1.5995
-4.5685, 1.0994
-0.5241, -3.9911
-2.3459, -0.1157
-3.2016, 5.9653
2.5749, -1.0589
-2.5605, -3.3685
1.5253, 0.2545
7.4069, 0.7025
3.5900, 0.6213
-1.4787, -4.3661
4.6712, -1.4543
3.0846, -0.2263
1.4986, -1.0456
-2.7278, 1.1260
1.6135, -4.2777
1.8311, 0.8890
1.2506, -2.7149
